     -9.80,-110.57,  0.07,   0
    -11.03,  -58.51, 0.10,   0
     13.34,  -48.43, 0.14, 180
     13.96,-109.65,  0.07, 180
     35.84, -127.60, 2.12, -90
     65.09, -126.95, 7.62, -90
     64.88, -143.20,  7.55, 90
     22.79, -144.30, 0.36,  90
     74.19, -114.15, 8.06,   0
     73.20,  -77.67, 8.06,   0
     71.30,  -19.71, 0.72,   0
     87.64,  -20.46, 0.83, 180
     88.90,  -56.92, 6.42, 180
     90.30,  -95.66, 8.07, 180
     90.90, -116.11, 8.07, 180
     98.60,-126.18,  8.07, -90
    132.95,-125.63,  8.07, -90
    132.80,-141.71,  8.07,  90
    100.95,-142.56,  8.07,  90
     92.00,-149.19,  7.44, 180
     92.52,-180.27,  0.10, 180
     76.15,-179.74,  0.17,   0
     75.62,-149.58,  7.46,   0
    144.83,-176.43,  0.84,   0
    144.10,-151.15,  6.51,   0
    160.47,-146.36,  7.43, 180
    161.15,-180.40,  0.38, 180
    143.93,-118.64,  8.07,   0
    143.30,-85.71,   8.07,   0
    159.77,-85.80,   8.07, 180
    160.47,-114.49,  8.07, 180
    143.08,-63.48,  7.64,    0
    141.98,-20.43,  0.51,    0
    158.84,-63.13,  7.63,  180
    158.24,-20.50,  0.54,  180
     33.43, 11.31,  0.07,  -90
     72.91, 12.63,  0.07,  -90
    142.74, 13.47,  0.07,  -90
    215.75, 14.59,  0.07,  -90
    217.12,-10.30,  0.07,   90
    173.45,-10.69,  0.07,   90
    134.91,-11.46,  0.07,   90
     95.16,-11.93,  0.07,   90
     60.66,-12.33,  0.07,   90
     15.24,-151.00,  0.07, 180
     15.78,-178.65,  0.07, 180
     -8.05,-181.92,  0.07,   0
     -8.33,-158.53,  0.07,   0
    -16.79,-144.90,  0.07,  90
    -59.02,-145.91,  0.07,  90
    -59.39,-129.66,  0.07, -90
    -19.05,-128.81,  0.07, -90
    -93.67,-150.92,  0.07,   0
    -93.94,-112.59, -0.17,   0
    -93.47,-70.97,  -0.78,   0
    -93.44,-12.06,   0.00,   0
     -93.26, 36.12,  0.29,   0
     -92.95, 67.39,  0.90,   0
     -92.96,120.32,  0.14,   0
     -69.10,115.40,  0.19, 180
     -69.69, 65.28,  0.90, 180
     -69.51, 10.69,  0.07, 180
     -69.19,-22.17, -0.10, 180
     -69.70,-78.94, -0.79, 180
    -69.62,-124.59,  0.00, 180
    -69.27,-157.87,  0.07, 180
    -64.00, -5.99,   0.07,  90
    -62.39,  3.29,  0.07,  -90
    -15.19, 35.11,  0.07,    0
    -15.19, 68.64,  0.07,    0
    -14.49,116.50,  0.07,    0
     10.33,115.72,  0.07,  180
     10.19, 72.80,  0.07,  180
     10.18, 37.25,  0.07,  180
    -14.21,148.72,  0.07,    0
     10.92,181.31,  0.07,  180
     10.87,148.40,  0.07,  180
     26.26,139.94,  0.07,  -90
     68.16,139.33,  0.08,  -90
    125.63,138.62,  0.41,  -90
    176.71, 81.20,  0.27,  180
    160.98, 79.78,  0.23,    0
    130.56,123.20,  0.45,   90
     75.76,124.09,  0.10,   90
     21.31,124.97,  0.07,   90
